PassengerId,Survived
892,4.299792
893,5.874228
894,8.4083805
895,3.2277298
896,2.4401865
897,1.6566243
898,3.7182758
899,3.1749907
900,2.033045
901,2.2385752
902,3.2277298
903,6.136569
904,2.7686183
905,8.547182
906,5.968455
907,2.677673
908,4.4800186
909,2.4195874
910,3.154258
911,5.6644893
912,7.463639
913,1.4327486
914,3.3475008
915,2.6155498
916,6.5082626
917,6.4232993
918,2.902929
919,2.6144543
920,5.396597
921,3.0697806
922,6.533748
923,2.7064338
924,4.032216
925,3.130676
926,3.7331483
927,2.0460176
928,3.231577
929,2.4874315
930,2.950949
931,3.2277298
932,5.0940385
933,3.4251962
934,5.2511816
935,3.5368917
936,5.6685057
937,2.889873
938,5.9877768
939,3.2277298
940,7.963372
941,4.5481434
942,2.941878
943,3.3310063
944,2.3784769
945,3.6222215
946,3.266319
947,1.3881196
948,4.372471
949,3.1145587
950,3.0855842
951,4.802071
952,1.9420515
953,3.9758918
954,2.0186296
955,2.5639305
956,1.8142887
957,3.0292544
958,2.0893261
959,6.284854
960,3.8872788
961,8.585447
962,2.8242877
963,2.4195874
964,3.5107236
965,3.5740557
966,4.659997
967,4.227952
968,3.2277298
969,7.0472155
970,3.6895149
971,2.8821478
972,1.2750822
973,9.259786
974,6.5817833
975,3.2277298
976,3.266319
977,3.1483142
978,3.2946262
979,2.0893261
980,3.2946262
981,1.2581855
982,2.3676066
983,3.2277298
984,3.4723754
985,3.2277298
986,3.1546297
987,2.8898728
988,10.270169
989,3.4433796
990,2.2807422
991,4.013703
992,5.3049765
993,3.2510948
994,3.2277298
995,2.9655523
996,1.8676746
997,3.3030212
998,2.4195874
999,3.2277298
1000,3.1017141
1001,2.5709221
1002,5.288183
1003,3.231577
1004,4.7307096
1005,2.180232
1006,8.399816
1007,1.9937931
1008,3.2277298
1009,2.412573
1010,4.7347927
1011,3.2692487
1012,1.6377336
1013,3.1483142
1014,4.362185
1015,3.3030212
1016,3.2277298
1017,2.0644965
1018,2.494453
1019,3.1381488
1020,5.5079403
1021,2.8148768
1022,3.8700235
1023,6.8768525
1024,3.6522627
1025,3.0855842
1026,5.546077
1027,2.7556229
1028,3.158027
1029,3.191039
1030,2.7481627
1031,5.771263
1032,1.5302205
1033,4.363547
1034,8.703816
1035,3.406365
1036,5.3289657
1037,3.4842284
1038,3.4723306
1039,2.5488083
1040,3.3696141
1041,3.5224113
1042,2.961099
1043,3.2277298
1044,8.148054
1045,4.5481434
1046,1.5914146
1047,2.8148768
1048,3.808493
1049,2.6927226
1050,5.5451674
1051,3.189685
1052,3.2946262
1053,1.3630807
1054,3.2585351
1055,3.2277298
1056,4.9931574
1057,2.991794
1058,6.5064664
1059,2.0845423
1060,3.1270804
1061,2.5639307
1062,3.2277298
1063,3.2277298
1064,2.5517578
1065,3.2277298
1066,5.48894
1067,2.0120587
1068,2.455669
1069,7.1644816
1070,4.7610283
1071,8.840045
1072,3.6895149
1073,4.8050184
1074,2.712614
1075,3.2277298
1076,3.271776
1077,5.141105
1078,2.5898178
1079,1.8356538
1080,2.9171073
1081,5.2130136
1082,4.1814613
1083,3.3696141
1084,1.5796779
1085,8.3347025
1086,1.4223148
1087,3.945753
1088,1.6387087
1089,2.0893261
1090,2.7207975
1091,3.0832443
1092,3.2946262
1093,1.2711474
1094,5.901665
1095,1.4609888
1096,2.990148
1097,3.3696141
1098,4.4392767
1099,2.796559
1100,4.2953963
1101,2.950949
1102,3.8700235
1103,3.2277298
1104,1.9882083
1105,7.839737
1106,4.6706967
1107,5.6163683
1108,3.231577
1109,7.8262
1110,6.602623
1111,3.1638427
1112,3.611848
1113,2.3685608
1114,3.0676227
1115,2.3685608
1116,6.995456
1117,3.2662597
1118,2.6236632
1119,3.2946262
1120,5.1058326
1121,4.485487
1122,1.7038345
1123,2.6816688
1124,2.3020012
1125,3.2277298
1126,5.0192423
1127,2.2466912
1128,8.734254
1129,2.2935793
1130,2.244429
1131,6.1702147
1132,7.2927747
1133,6.122546
1134,6.0408144
1135,3.2277298
1136,3.3687205
1137,5.314621
1138,2.4986913
1139,5.4876795
1140,3.324067
1141,2.958067
1142,1.2927723
1143,2.2078085
1144,3.3270745
1145,2.7556229
1146,4.010235
1147,3.1638427
1148,3.2277298
1149,3.368009
1150,2.2875838
